Name,URL,Query,Rating,Reviews,Phone,Address,Website
Kozy's Cyclery - River North,https://www.google.com/maps/place/Kozy%27s+Cyclery+-+River+North/data=!4m7!3m6!1s0x880e2cb4ebbbcf0b:0xe1e412b1dcafb43c!8m2!3d41.8938761!4d-87.6348912!16s%2Fg%2F1tct995n!19sChIJC8-767QsDogRPLSv3LES5OE?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.3,236,-,-,-
Wheel Fun Rentals | Humboldt Park,https://www.google.com/maps/place/Wheel+Fun+Rentals+%7C+Humboldt+Park/data=!4m7!3m6!1s0x880fcd5f40e3b9b1:0x51063b1f53f41eea!8m2!3d41.9055088!4d-87.7002343!16s%2Fg%2F11g0hnf3xw!19sChIJsbnjQF_ND4gR6h70Ux87BlE?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.1,34,-,-,-
Bike Clinic,https://www.google.com/maps/place/Bike+Clinic/data=!4m7!3m6!1s0x880e2935a16f54ef:0xe1b8efb445afc51!8m2!3d41.7660636!4d-87.570597!16s%2Fg%2F11k0ls_61f!19sChIJ71RvoTUpDogRUfxaRPuOGw4?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.0,52,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2b92704e2225:0xc1a4120a47119066!8m2!3d41.838556!4d-87.608218!16s%2Fg%2F11bbrnnrts!19sChIJJSJOcJIrDogRZpARRwoSpME?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.2,6,-,-,-
REI Bike Shop,https://www.google.com/maps/place/REI+Bike+Shop/data=!4m7!3m6!1s0x880fd3c5c5b3775d:0xa48d34529d1feb11!8m2!3d41.9064979!4d-87.650667!16s%2Fg%2F11h4lk4gz4!19sChIJXXezxcXTD4gREesfnVI0jaQ?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.2,39,-,-,-
Let's Roast Cycles,https://www.google.com/maps/place/Let%27s+Roast+Cycles/data=!4m7!3m6!1s0x880fd2d16a60e42b:0xcebbda6107a07a3b!8m2!3d41.8905022!4d-87.6863467!16s%2Fg%2F1pp2tvzrh!19sChIJK-RgatHSD4gRO3qgB2Hau84?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.9,163,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880fd3a210921221:0xd0d0f4019cfbc334!8m2!3d41.9407751!4d-87.639192!16s%2Fg%2F1ptyx9qtj!19sChIJIRKSEKLTD4gRNMP7nAH00NA?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.7,7,-,-,-
Dragonspine Cycling,https://www.google.com/maps/place/Dragonspine+Cycling/data=!4m7!3m6!1s0x880fcd01cba63529:0xbae72b854f0dcb95!8m2!3d41.9603003!4d-87.753965!16s%2Fg%2F11y1vp9dpm!19sChIJKTWmywHND4gRlcsNT4Ur57o?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,5.0,26,-,-,-
"33 N Morgan St, Chicago, IL 60607","https://www.google.com/maps/place/33+N+Morgan+St,+Chicago,+IL+60607/data=!4m7!3m6!1s0x880e2d63df180cfd:0x9e487a185de4f0b4!8m2!3d41.8827369!4d-87.6518079!16s%2Fg%2F11rq0k3vg0!19sChIJ_QwY32MtDogRtPDkXRh6SJ4?authuser=0&hl=en&rclk=1",Bike rentals in Chicago Illinois,5.0,1,-,-,-
Johnny Sprockets,https://www.google.com/maps/place/Johnny+Sprockets/data=!4m7!3m6!1s0x880fd1786d016d81:0x4ccd3b9b64fbbd57!8m2!3d41.9808876!4d-87.6685241!16s%2Fg%2F1tfln0kc!19sChIJgW0BbXjRD4gRV737ZJs7zUw?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.5,74,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880fd313323ad955:0xc0683f955e24d209!8m2!3d41.922167!4d-87.638888!16s%2Fg%2F1ptzxhd66!19sChIJVdk6MhPTD4gRCdIkXpU_aMA?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.3,19,-,-,-
